city_name,country_code,lattitude,longitude,temp,wind_speed,cloudiness,humidity
bluff,nz,-76.039275724991,172.58320220922474,50.0,10.0,100,87
aykhal,ru,68.29343778793609,110.5387523697728,-35.5,0.89,6,76
mataura,pf,-64.09056810725485,-161.01352597162577,50.0,10.0,70,87
puerto ayora,ec,3.038544360742918,-89.47420624523228,82.83,18.41,40,70
vaini,to,-35.10910759106209,-179.18346436351848,73.4,13.8,75,94
bredasdorp,za,-60.711009112323204,20.212912641309458,60.8,3.44,97,63
rikitea,pf,-26.183991800040722,-138.1186006502943,79.32,14.23,6,76
atuona,pf,-1.9024278399236607,-126.17639440420903,78.22,16.67,1,77
anadyr,ru,66.6678249063994,177.07586609315933,10.4,44.74,40,85
touros,br,-3.801326424400031,-33.961785770726834,86.0,19.57,20,54
san quintin,mx,25.679532299954516,-119.97648352295353,57.51,3.69,19,44
saskylakh,ru,72.04288906986471,112.38430769333547,-43.6,1.66,79,79
merauke,id,-10.169772974481361,140.72879854128763,78.89,11.95,100,88
san luis,ar,-32.42923652779409,-66.54914080575126,90.54,16.4,50,28
nanortalik,gl,52.29954025150664,-42.6679573952934,24.48,5.23,100,90
puerto carreno,co,6.985083978289836,-67.78250765446256,94.82,12.44,65,35
dikson,ru,76.9051041717108,86.94850812577857,-21.71,8.61,100,86
nikolskoye,ru,55.76308803166148,164.46533499907355,31.8,4.47,75,93
carnarvon,au,-20.43762295852619,104.31818619404476,71.6,18.41,0,88
sheridan,us,45.29086421990249,-107.41914932806584,35.74,8.05,20,32
ialibu,pg,-7.284941511478564,143.92424286467025,56.77,0.74,100,99
tuktoyaktuk,ca,86.80879402334816,-120.77418496839132,-20.2,6.91,40,76
ulaangom,mn,48.793963140880265,91.2761252971813,-15.75,2.64,91,88
cherskiy,ru,75.68625988000201,160.1566312235322,-23.13,3.65,100,85
husavik,is,72.84219556495219,-11.698411207060389,19.4,6.91,75,86
sitka,us,56.03336493866442,-137.77905422784352,22.51,1.99,0,81
cangzhou,cn,38.46909203770059,116.90695289135289,28.11,22.15,0,64
cidreira,br,-50.10105393755365,-28.82614631162869,75.63,1.59,100,88
alofi,nu,-17.6216766024705,-169.97416955252314,78.8,8.05,100,89
albany,au,-81.8866784473233,108.32796562145933,55.4,4.61,90,94
khandagayty,ru,51.0102682046963,92.20055304131722,-12.93,1.25,68,85
hobyo,so,2.5052435519262275,54.27993231209669,76.48,19.64,3,76
kandrian,pg,-6.670710752590892,150.6353936497083,79.47,9.93,100,84
warrington,us,26.512736644389392,-87.30300671324284,44.62,8.05,20,93
tasiilaq,gl,58.47535510270646,-32.156849581518884,21.2,24.16,90,45
luderitz,na,-24.944502467953512,15.12577130661694,68.61,31.43,0,58
kumano,jp,32.85813559287682,137.5015615569135,39.99,1.01,60,16
snezhnogorsk,ru,68.35753848186039,87.3483385265302,17.6,11.18,75,79
arraial do cabo,br,-53.43210365502577,-17.95646102102731,85.75,28.77,0,58
longyearbyen,sj,88.9997252093973,17.01145842923853,8.6,17.27,20,61
khomeyn,ir,33.90451578785316,50.14370438623942,37.62,2.21,9,60
dali,cn,24.291840588428272,99.140269918331,40.42,2.95,0,68
jamestown,sh,-31.473095931751132,-18.19654733516404,68.81,17.83,100,88
hobart,au,-45.89104155398535,156.50682984932575,54.28,6.91,75,50
kaitangata,nz,-64.76147329774471,176.68211119568815,53.01,11.01,41,70
bonthe,sl,5.104689557347328,-15.832075838655754,78.84,8.1,0,82
geraldton,au,-30.228046445490683,102.82500265240742,64.4,12.66,0,72
mount gambier,au,-44.363762032632856,136.85199838573192,59.0,10.36,16,88
vardo,no,85.87131003955759,36.4114139034634,26.6,24.16,75,63
clyde river,ca,69.04576120732855,-66.47254055791893,-9.4,2.3,40,70
whitehorse,ca,61.62643946750546,-134.2825772702162,-17.68,5.75,1,76
ushuaia,ar,-73.40914383308494,-67.38303515787145,44.6,17.27,75,70
manuk mangkaw,ph,4.7467926037301424,120.12618789858232,80.56,11.72,80,83
el reno,us,35.790772767291074,-98.29755744866347,33.28,13.8,75,64
cape town,za,-78.0566297609904,-11.399834181240209,66.65,17.27,0,68
council bluffs,us,41.94116998084749,-95.80923330522043,22.53,5.75,1,68
nsanje,mw,-17.312697713033117,35.639632103552515,76.84,2.91,99,85
micoud,lc,13.583977936098364,-60.26996090362074,84.2,14.97,20,58
cataguases,br,-21.320585369389022,-42.65900316977289,84.74,3.6,35,63
cabo san lucas,mx,18.42046533545974,-111.33661937892475,75.34,7.0,100,38
pevek,ru,78.93745966344468,171.48147465125044,-24.36,3.74,100,87
sorland,no,69.64263460759523,9.579579068847352,33.8,16.11,40,75
kharp,ru,67.26159624226824,66.17273284233886,-29.31,3.76,100,82
lubango,ao,-16.527867037192763,13.238391500952133,59.58,5.39,87,67
new norfolk,au,-54.096233994362166,135.40856565564053,51.62,0.29,99,59
ingham,au,-18.784954493316377,144.16553814106402,75.49,4.65,44,90
hami,cn,40.99452983114546,91.14905871042447,18.86,0.96,100,82
qaanaaq,gl,80.60338350740366,-80.51100219096224,-15.68,8.05,0,64
la ronge,ca,64.272581711297,-103.87809592234653,-2.2,8.05,24,65
denia,es,38.332854503082785,0.6999323955123486,67.19,5.01,35,58
katsuura,jp,27.843655635765245,144.2840385923946,44.13,11.5,75,61
alcaniz,es,40.85368833113148,-0.32912086759677095,58.46,5.01,51,79
venado tuerto,ar,-33.94146612669266,-62.71298168890738,95.0,5.99,0,14
zherdevka,ru,51.96309347286953,41.2237849350206,33.8,16.89,100,94
punta arenas,cl,-72.04051592627575,-96.87027939055217,48.09,24.16,75,57
mahebourg,mu,-39.86000834427903,76.02317250617978,75.2,4.61,20,83
sao felix do xingu,br,-8.913939884108515,-52.26216858454774,83.82,2.91,42,76
ust-kuyga,ru,68.9363287004293,136.6978868245884,-41.89,1.1,93,79
kodiak,us,41.96667957976442,-149.44127625688452,23.86,11.5,90,74
aklavik,ca,81.69303391559646,-142.92220279933446,-13.0,2.3,100,77
cayenne,gf,13.61467919551501,-45.12880987234911,82.4,10.36,75,74
mareeba,au,-13.080353923264568,144.31842180304784,74.98,6.91,40,94
yellowknife,ca,83.46383786681682,-98.7816411609822,-10.7,3.44,90,77
manta,ec,-0.6787535478783155,-81.6257959328617,82.4,8.05,75,74
kudahuvadhoo,mv,1.8496958369109393,67.30555887711148,80.26,18.77,48,74
vila velha,br,-25.43691965997688,-24.271993943274907,86.31,17.27,20,58
